task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e0/0e1f6a	6428	CONTIGANNO:CHECKV	COMPLETED	0	2026-04-09 12:49:44.749	1s	0ms	-	-	-	-	-
2	78/2b85d5	6472	CONTIGANNO:GENEPRED4CTG	COMPLETED	0	2026-04-09 12:49:47.304	762ms	0ms	-	-	-	-	-
3	00/3b6aff	6494	CONTIGANNO:CONTIGLIB_CLUSTER	COMPLETED	0	2026-04-09 12:49:47.736	737ms	0ms	-	-	-	-	-
4	c6/6c430f	6543	CONTIGANNO:NRGENE	COMPLETED	0	2026-04-09 12:49:48.583	550ms	0ms	-	-	-	-	-
5	59/644272	6572	CONTIGANNO:NRPROT	COMPLETED	0	2026-04-09 12:49:48.929	593ms	0ms	-	-	-	-	-
6	de/59ee28	6597	CONTIGANNO:BACPHLIP	COMPLETED	0	2026-04-09 12:49:49.194	767ms	0ms	-	-	-	-	-
7	c7/81f816	6624	CONTIGANNO:TAXONOMY_MMSEQS	COMPLETED	0	2026-04-09 12:49:49.578	727ms	1s	-	-	-	-	-
9	63/13aed9	6644	CONTIGANNO:TAXONOMY_VCONTACT	COMPLETED	0	2026-04-09 12:49:49.826	650ms	0ms	-	-	-	-	-
10	02/ed8def	6669	CONTIGANNO:VIRSORTER2	COMPLETED	0	2026-04-09 12:49:50.122	675ms	0ms	-	-	-	-	-
8	a1/84f9db	6713	CONTIGANNO:VIRALHOST_IPHOP	COMPLETED	0	2026-04-09 12:49:50.479	803ms	1s	-	-	-	-	-
12	21/9155ac	6738	CONTIGANNO:DVF	COMPLETED	0	2026-04-09 12:49:51.013	709ms	0ms	-	-	-	-	-
11	28/7bf6b0	6766	CONTIGANNO:VIBRANT	COMPLETED	0	2026-04-09 12:49:51.345	1s	1s	-	-	-	-	-
13	87/4fbc28	6787	CONTIGANNO:TAXONOMY_MERGE	COMPLETED	0	2026-04-09 12:49:51.689	1.1s	0ms	-	-	-	-	-
14	0f/eb763c	6820	CONTIGANNO:DRAMV	COMPLETED	0	2026-04-09 12:49:52.239	951ms	0ms	-	-	-	-	-
15	8b/b35e69	6866	CONTIGANNO:VIRCONTIGS_PRE	COMPLETED	0	2026-04-09 12:49:52.795	798ms	0ms	-	-	-	-	-
